Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
account_settings,Chrome 63.0.3239.84,,2018-01-03 14:15:04,2018-01-03 14:23:15,8m - 11.619s,FAILED
,,,,,,
Test Cases/047_account_alttab,Chrome 63.0.3239.84,,2018-01-03 14:15:04,2018-01-03 14:15:42,38.267s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 14:15:05,2018-01-03 14:15:17,12.810s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 14:15:17,2018-01-03 14:15:18,0.086s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:18,2018-01-03 14:15:19,1.005s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:19,2018-01-03 14:15:19,0.151s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:19,2018-01-03 14:15:20,1.003s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:20,2018-01-03 14:15:20,0.163s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 14:15:20,2018-01-03 14:15:20,0.082s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:20,2018-01-03 14:15:21,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:21,2018-01-03 14:15:23,2.062s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:23,2018-01-03 14:15:24,1.001s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:24,2018-01-03 14:15:24,0.042s,PASSED
click,Chrome 63.0.3239.84,Ensure that account at least 1 address. Test will edit first address,2018-01-03 14:15:24,2018-01-03 14:15:24,0.058s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:24,2018-01-03 14:15:25,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:25,2018-01-03 14:15:25,0.118s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:25,2018-01-03 14:15:26,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:26,2018-01-03 14:15:26,0.041s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:26,2018-01-03 14:15:28,1.761s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:28,2018-01-03 14:15:29,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:29,2018-01-03 14:15:29,0.069s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:29,2018-01-03 14:15:40,10.494s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:40,2018-01-03 14:15:41,1.001s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:41,2018-01-03 14:15:41,0.045s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:41,2018-01-03 14:15:41,0.136s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:41,2018-01-03 14:15:41,0.152s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:41,2018-01-03 14:15:41,0.216s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:41,2018-01-03 14:15:42,1.002s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-03 14:15:42,2018-01-03 14:15:42,0.042s,PASSED
,,,,,,
Test Cases/027_account_orderhistory,Chrome 63.0.3239.84,,2018-01-03 14:15:43,2018-01-03 14:16:05,21.775s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 14:15:43,2018-01-03 14:15:53,10.158s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:53,2018-01-03 14:15:53,0.081s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:53,2018-01-03 14:15:54,1.003s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:54,2018-01-03 14:15:55,0.173s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:55,2018-01-03 14:15:56,1.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 14:15:56,2018-01-03 14:15:56,0.095s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:15:56,2018-01-03 14:15:59,3.344s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:15:59,2018-01-03 14:16:00,1.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 14:16:00,2018-01-03 14:16:02,2.004s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 14:16:02,2018-01-03 14:16:02,0.155s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:16:02,2018-01-03 14:16:04,1.556s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:16:04,2018-01-03 14:16:05,1.007s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-03 14:16:05,2018-01-03 14:16:05,0.031s,PASSED
,,,,,,
Test Cases/028_account_change_email,Chrome 63.0.3239.84,,2018-01-03 14:16:06,2018-01-03 14:16:36,30.515s,PASSED
callTestCase,Chrome 63.0.3239.84,,2018-01-03 14:16:06,2018-01-03 14:16:17,10.823s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:16:17,2018-01-03 14:16:17,0.086s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:16:17,2018-01-03 14:16:18,1.002s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:16:18,2018-01-03 14:16:18,0.155s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 14:16:18,2018-01-03 14:16:19,1.121s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 14:16:19,2018-01-03 14:16:19,0.126s,PASSED
delay,Chrome 63.0.3239.84,,2018-01-03 14:16:19,2018-01-03 14:16:22,3.000s,PASSED
