Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login_logout,Chrome 63.0.3239.84,,2017-12-29 14:10:24,2017-12-29 14:12:32,2m - 8.309s,PASSED
,,,,,,
Test Cases/001_login_email_successful,Chrome 63.0.3239.84,,2017-12-29 14:10:24,2017-12-29 14:10:38,13.571s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-29 14:10:25,2017-12-29 14:10:29,3.980s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-29 14:10:29,2017-12-29 14:10:32,3.272s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:32,2017-12-29 14:10:32,0.428s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:32,2017-12-29 14:10:34,1.478s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:34,2017-12-29 14:10:34,0.275s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:34,2017-12-29 14:10:34,0.186s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-29 14:10:34,2017-12-29 14:10:37,3.028s,PASSED
verifyElementNotPresent,Chrome 63.0.3239.84,,2017-12-29 14:10:37,2017-12-29 14:10:38,0.291s,PASSED
,,,,,,
Test Cases/002_login_email_wrongpw,Chrome 63.0.3239.84,,2017-12-29 14:10:38,2017-12-29 14:10:48,10.008s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-29 14:10:39,2017-12-29 14:10:41,1.937s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-29 14:10:41,2017-12-29 14:10:43,2.222s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:43,2017-12-29 14:10:43,0.336s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:43,2017-12-29 14:10:45,1.410s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:45,2017-12-29 14:10:45,0.418s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:45,2017-12-29 14:10:45,0.249s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-29 14:10:45,2017-12-29 14:10:48,3.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-29 14:10:48,2017-12-29 14:10:48,0.260s,PASSED
,,,,,,
Test Cases/003_login_email_wrongpwformat,Chrome 63.0.3239.84,,2017-12-29 14:10:49,2017-12-29 14:10:59,9.543s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-29 14:10:49,2017-12-29 14:10:51,1.953s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-29 14:10:51,2017-12-29 14:10:54,2.193s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:54,2017-12-29 14:10:54,0.393s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:54,2017-12-29 14:10:55,1.369s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:10:55,2017-12-29 14:10:56,0.263s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:10:56,2017-12-29 14:10:56,0.175s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-29 14:10:56,2017-12-29 14:10:59,3.001s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-29 14:10:59,2017-12-29 14:10:59,0.069s,PASSED
,,,,,,
Test Cases/004_login_email_wrongemail,Chrome 63.0.3239.84,,2017-12-29 14:11:00,2017-12-29 14:11:10,10.212s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-29 14:11:00,2017-12-29 14:11:02,1.958s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-29 14:11:02,2017-12-29 14:11:04,2.259s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:11:04,2017-12-29 14:11:04,0.340s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:11:04,2017-12-29 14:11:06,1.685s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:11:06,2017-12-29 14:11:06,0.444s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:11:06,2017-12-29 14:11:07,0.103s,PASSED
delay,Chrome 63.0.3239.84,,2017-12-29 14:11:07,2017-12-29 14:11:10,3.002s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2017-12-29 14:11:10,2017-12-29 14:11:10,0.281s,PASSED
,,,,,,
Test Cases/005_login_email_wrongemailformat,Chrome 63.0.3239.84,,2017-12-29 14:11:11,2017-12-29 14:11:20,9.728s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-29 14:11:11,2017-12-29 14:11:13,1.964s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-29 14:11:13,2017-12-29 14:11:15,2.232s,PASSED
click,Chrome 63.0.3239.84,,2017-12-29 14:11:15,2017-12-29 14:11:15,0.356s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-29 14:11:15,2017-12-29 14:11:17,1.336s,PASSED
