Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
signup,Chrome 63.0.3239.84,,2018-01-03 18:36:13,2018-01-03 18:38:22,2m - 9.266s,PASSED
,,,,,,
Test Cases/010_signup_success,Chrome 63.0.3239.84,,2018-01-03 18:36:13,2018-01-03 18:36:27,13.743s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:36:14,2018-01-03 18:36:17,3.553s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:36:17,2018-01-03 18:36:20,2.410s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:36:20,2018-01-03 18:36:20,0.403s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:36:20,2018-01-03 18:36:21,1.134s,PASSED
"Statement - str1 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-03 18:36:21,2018-01-03 18:36:21,0.029s,PASSED
"Statement - str2 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-03 18:36:21,2018-01-03 18:36:21,0.006s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:21,2018-01-03 18:36:22,0.988s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:22,2018-01-03 18:36:22,0.230s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:22,2018-01-03 18:36:23,0.313s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:23,2018-01-03 18:36:23,0.297s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:23,2018-01-03 18:36:23,0.315s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:36:23,2018-01-03 18:36:24,0.153s,PASSED
delay,Chrome 63.0.3239.84,Delay for signup success notification (WIP),2018-01-03 18:36:24,2018-01-03 18:36:27,3.024s,PASSED
autoKeywords.verifyLoggedIn.verifyLogged,Chrome 63.0.3239.84,,2018-01-03 18:36:27,2018-01-03 18:36:27,0.071s,PASSED
,,,,,,
Test Cases/011_signup_success_newlogin,Chrome 63.0.3239.84,,2018-01-03 18:36:27,2018-01-03 18:36:47,19.116s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-03 18:36:28,2018-01-03 18:36:30,1.954s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-03 18:36:30,2018-01-03 18:36:32,2.242s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:36:32,2018-01-03 18:36:32,0.273s,PASSED
click,Chrome 63.0.3239.84,,2018-01-03 18:36:32,2018-01-03 18:36:33,1.038s,PASSED
"Statement - str1 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-03 18:36:33,2018-01-03 18:36:33,0.001s,PASSED
"Statement - str2 = CustomKeywords.autoKeywords.RandomStrGen.randomStr(""abcdefghijklmnopqrstuvwxyz1234567890"", 10)",Chrome 63.0.3239.84,,2018-01-03 18:36:33,2018-01-03 18:36:33,0.001s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-03 18:36:33,2018-01-03 18:36:34,0.793s,PASSED
